Gene stable ID	Chromosome/scaffold name	Transcript count	Gene % GC content	Strand
ENSMUSG00000100256	Y	2	50.95	1
ENSMUSG00000101201	Y	1	45.20	-1
ENSMUSG00000101003	Y	2	40.78	1
ENSMUSG00000100628	Y	1	36.43	-1
ENSMUSG00000100268	Y	1	43.53	-1
ENSMUSG00000100003	Y	2	40.32	1
ENSMUSG00000101343	Y	1	40.63	-1
ENSMUSG00000101907	Y	1	45.22	-1
ENSMUSG00000099462	Y	2	40.12	1
ENSMUSG00000100035	Y	2	40.32	1
ENSMUSG00000101434	Y	1	35.58	-1
ENSMUSG00000100061	Y	1	45.53	1
ENSMUSG00000100861	Y	1	44.88	-1
ENSMUSG00000100317	Y	1	45.34	-1
ENSMUSG00000101138	Y	2	40.78	-1
ENSMUSG00000101329	Y	1	45.36	-1
ENSMUSG00000100871	Y	2	50.95	-1
ENSMUSG00000100532	Y	2	40.28	1
ENSMUSG00000100716	Y	2	41.04	-1
ENSMUSG00000100325	Y	2	50.95	-1
ENSMUSG00000101772	Y	1	45.20	-1
ENSMUSG00000099667	Y	1	44.83	-1
ENSMUSG00000099789	Y	2	41.25	1
ENSMUSG00000099593	Y	2	50.95	1
ENSMUSG00000101109	Y	2	40.89	1
ENSMUSG00000101582	Y	1	43.53	-1
ENSMUSG00000101541	Y	2	50.95	1
ENSMUSG00000101273	Y	1	40.32	-1
ENSMUSG00000101508	Y	2	40.43	1
ENSMUSG00000101884	Y	1	45.37	-1
ENSMUSG00000100906	Y	1	45.18	-1
ENSMUSG00000100852	Y	2	40.43	1
ENSMUSG00000100092	Y	1	36.06	1
ENSMUSG00000100284	Y	1	43.68	-1
ENSMUSG00000099532	Y	2	40.33	1
ENSMUSG00002075613	Y	1	42.59	-1
ENSMUSG00000102054	Y	2	40.20	-1
ENSMUSG00002076259	Y	1	42.59	-1
ENSMUSG00000101131	Y	2	50.95	-1
ENSMUSG00000099339	Y	1	45.11	1
ENSMUSG00000100740	Y	1	45.20	-1
ENSMUSG00000099674	Y	2	41.22	1
ENSMUSG00000100718	Y	1	45.11	-1
ENSMUSG00000101069	Y	2	50.95	1
ENSMUSG00000100023	Y	2	40.36	1
ENSMUSG00000100531	Y	2	40.35	1
ENSMUSG00000099483	Y	1	44.97	-1
ENSMUSG00000100646	Y	1	45.20	-1
ENSMUSG00000099409	Y	1	43.39	-1
ENSMUSG00000099522	Y	1	40.32	-1
ENSMUSG00000100938	Y	2	40.15	1
ENSMUSG00000101950	Y	1	49.47	-1
ENSMUSG00000099441	Y	1	45.20	-1
ENSMUSG00000100411	Y	1	44.97	-1
ENSMUSG00000100449	Y	1	44.97	-1
ENSMUSG00000100970	Y	1	45.51	-1
ENSMUSG00000099642	Y	1	38.75	1
ENSMUSG00000101354	Y	1	45.02	-1
ENSMUSG00000101204	Y	3	40.04	1
ENSMUSG00000101835	Y	1	45.26	-1
ENSMUSG00000102127	Y	1	45.29	-1
ENSMUSG00000099362	Y	1	46.89	-1
ENSMUSG00000099921	Y	2	40.24	1
ENSMUSG00002076147	Y	1	42.59	-1
ENSMUSG00000095650	Y	2	40.43	-1
ENSMUSG00000099477	Y	1	45.04	-1
ENSMUSG00000102092	Y	1	44.54	-1
ENSMUSG00000101989	Y	1	45.38	-1
ENSMUSG00000100288	Y	1	46.85	-1
ENSMUSG00000099341	Y	1	39.80	-1
ENSMUSG00000101282	Y	2	40.24	1
ENSMUSG00002075299	Y	1	42.59	-1
ENSMUSG00000101346	Y	1	45.04	-1
ENSMUSG00000102061	Y	1	45.26	-1
ENSMUSG00000100541	Y	1	43.96	-1
ENSMUSG00000101961	Y	2	40.11	1
ENSMUSG00000099367	Y	1	40.00	-1
ENSMUSG00000099666	Y	3	40.32	1
ENSMUSG00000100240	Y	1	35.54	1
ENSMUSG00000101347	Y	1	43.53	-1
ENSMUSG00000099824	Y	2	40.21	1
ENSMUSG00000101263	Y	1	45.04	-1
ENSMUSG00002076549	Y	1	42.59	-1
ENSMUSG00000099986	Y	1	45.55	-1
ENSMUSG00000100118	Y	2	40.04	1
ENSMUSG00000100854	Y	1	45.20	-1
ENSMUSG00000101092	Y	1	45.11	-1
ENSMUSG00000100817	Y	1	45.35	-1
ENSMUSG00000102122	Y	1	35.51	1
ENSMUSG00000099513	Y	1	43.10	-1
ENSMUSG00000101552	Y	1	40.32	-1
ENSMUSG00000102110	Y	2	40.10	1
ENSMUSG00000100973	Y	1	35.53	1
ENSMUSG00000100388	Y	2	40.34	1
ENSMUSG00000099588	Y	1	43.68	-1
ENSMUSG00000100028	Y	1	40.32	-1
ENSMUSG00000100350	Y	1	45.37	-1
ENSMUSG00000099867	Y	1	45.37	-1
ENSMUSG00000100887	Y	2	40.43	1
ENSMUSG00000100773	Y	1	44.88	-1
ENSMUSG00000100365	Y	1	43.68	-1
ENSMUSG00000099985	Y	1	45.39	-1
ENSMUSG00000099916	Y	3	40.29	1
ENSMUSG00000099613	Y	1	39.10	1
ENSMUSG00000101557	Y	1	47.54	-1
ENSMUSG00000101222	Y	1	45.25	-1
ENSMUSG00000101902	Y	1	45.37	-1
ENSMUSG00000100787	Y	3	40.37	1
ENSMUSG00000101002	Y	1	39.04	1
ENSMUSG00000099856	Y	1	35.60	1
ENSMUSG00000101019	Y	1	45.04	-1
ENSMUSG00000101241	Y	1	43.53	-1
ENSMUSG00000101684	Y	1	45.55	-1
ENSMUSG00000100695	Y	1	40.63	-1
ENSMUSG00000100820	Y	1	45.49	-1
ENSMUSG00000101866	Y	1	45.17	-1
ENSMUSG00000101931	Y	2	40.38	1
ENSMUSG00000101646	Y	1	45.04	1
ENSMUSG00000100947	Y	1	43.10	-1
ENSMUSG00000100461	Y	1	45.45	-1
ENSMUSG00000100746	Y	1	43.68	-1
ENSMUSG00000099675	Y	1	40.32	-1
ENSMUSG00000101770	Y	1	45.28	-1
ENSMUSG00000100248	Y	3	40.22	1
ENSMUSG00000099643	Y	2	40.23	1
ENSMUSG00000100996	Y	1	45.37	-1
ENSMUSG00000099777	Y	1	45.40	-1
ENSMUSG00000100930	Y	1	45.53	-1
ENSMUSG00000099559	Y	1	45.32	1
ENSMUSG00000099637	Y	1	40.63	1
ENSMUSG00000100440	Y	2	39.96	1
ENSMUSG00000099565	Y	1	43.68	1
ENSMUSG00000099649	Y	1	39.00	1
ENSMUSG00000100391	Y	1	44.55	-1
ENSMUSG00000101984	Y	2	40.01	1
ENSMUSG00000099494	Y	3	40.29	1
ENSMUSG00000100637	Y	1	35.45	1
ENSMUSG00000101850	Y	1	43.82	-1
ENSMUSG00000099745	Y	1	45.04	-1
ENSMUSG00000099436	Y	1	45.19	-1
ENSMUSG00000101883	Y	1	45.40	-1
ENSMUSG00000100067	Y	2	40.22	1
ENSMUSG00000102022	Y	3	40.15	1
ENSMUSG00000101497	Y	1	45.37	-1
ENSMUSG00000101694	Y	1	45.24	-1
ENSMUSG00000100492	Y	2	40.15	1
ENSMUSG00000099725	Y	1	43.53	-1
ENSMUSG00000100853	Y	1	40.32	-1
ENSMUSG00000099982	Y	2	40.54	1
ENSMUSG00000099506	Y	1	45.26	-1
ENSMUSG00000101402	Y	2	40.33	-1
ENSMUSG00000100584	Y	3	40.36	1
ENSMUSG00000100574	Y	2	40.18	-1
ENSMUSG00000101570	Y	1	38.98	1
ENSMUSG00000101885	Y	1	43.82	-1
ENSMUSG00000100095	Y	1	45.20	-1
ENSMUSG00000102011	Y	1	39.30	-1
ENSMUSG00000099654	Y	3	40.09	1
ENSMUSG00000100533	Y	2	41.31	1
ENSMUSG00000094729	Y	2	40.23	-1
ENSMUSG00000100332	Y	1	39.12	1
ENSMUSG00000100678	Y	1	45.37	-1
ENSMUSG00000101547	Y	1	45.28	-1
ENSMUSG00000100401	Y	3	39.83	1
ENSMUSG00000101367	Y	1	41.98	1
ENSMUSG00000100778	Y	1	38.94	1
ENSMUSG00000100835	Y	1	45.04	-1
ENSMUSG00000100045	Y	1	35.50	1
ENSMUSG00000101018	Y	1	43.68	-1
ENSMUSG00000101178	Y	1	40.63	-1
ENSMUSG00000101566	Y	1	45.08	-1
ENSMUSG00000101190	Y	3	39.83	1
ENSMUSG00000099942	Y	1	45.18	-1
ENSMUSG00000101368	Y	1	44.79	-1
ENSMUSG00000099682	Y	1	45.34	-1
ENSMUSG00000100227	Y	3	40.28	1
ENSMUSG00000099456	Y	3	40.40	1
ENSMUSG00000101783	Y	1	45.20	-1
ENSMUSG00000100089	Y	1	45.38	-1
ENSMUSG00000101542	Y	3	40.02	1
ENSMUSG00000099509	Y	1	43.68	-1
ENSMUSG00000100424	Y	1	39.23	1
ENSMUSG00002076770	Y	1	42.59	-1
ENSMUSG00000101534	Y	1	45.20	-1
ENSMUSG00000100184	Y	1	40.27	-1
ENSMUSG00000101967	Y	3	40.28	1
ENSMUSG00000101723	Y	1	38.99	1
ENSMUSG00000102056	Y	1	44.40	-1
ENSMUSG00000099442	Y	1	45.38	-1
ENSMUSG00000101148	Y	1	40.63	-1
ENSMUSG00000101580	Y	1	45.14	-1
ENSMUSG00000100054	Y	3	39.83	1
ENSMUSG00000100889	Y	1	44.79	-1
ENSMUSG00000099607	Y	1	45.34	-1
ENSMUSG00000100242	Y	1	45.40	-1
ENSMUSG00000100167	Y	3	40.29	1
ENSMUSG00000100144	Y	3	40.11	1
ENSMUSG00000101045	Y	1	45.20	-1
ENSMUSG00000101021	Y	1	45.35	-1
ENSMUSG00000099485	Y	1	43.15	1
ENSMUSG00000099548	Y	1	40.01	1
ENSMUSG00000101891	Y	2	41.01	-1
ENSMUSG00000100238	Y	1	50.95	-1
ENSMUSG00000101103	Y	1	45.10	1
ENSMUSG00000099866	Y	2	40.22	1
ENSMUSG00000101910	Y	2	40.49	1
ENSMUSG00000100579	Y	2	41.09	1
ENSMUSG00000100057	Y	2	40.83	-1
ENSMUSG00000101592	Y	1	50.76	-1
ENSMUSG00000100609	Y	2	40.20	-1
ENSMUSG00000101993	Y	1	50.95	-1
ENSMUSG00000099935	Y	1	45.11	1
ENSMUSG00000100012	Y	2	40.47	1
ENSMUSG00000099836	Y	2	40.36	1
ENSMUSG00000100404	Y	1	45.91	-1
ENSMUSG00000099865	Y	1	41.99	-1
ENSMUSG00000100474	Y	1	43.52	-1
ENSMUSG00000100757	Y	1	40.58	-1
ENSMUSG00000100606	Y	1	45.41	-1
ENSMUSG00000101170	Y	1	41.84	-1
ENSMUSG00000099355	Y	2	40.15	1
ENSMUSG00000100874	Y	1	45.20	-1
ENSMUSG00000101689	Y	1	44.96	-1
ENSMUSG00000099626	Y	1	43.80	-1
ENSMUSG00000102108	Y	1	40.89	-1
ENSMUSG00000093950	Y	1	39.58	-1
ENSMUSG00000101466	Y	1	45.10	-1
ENSMUSG00000101614	Y	2	39.94	1
ENSMUSG00000101882	Y	1	43.66	-1
ENSMUSG00000099585	Y	1	40.89	-1
ENSMUSG00000101182	Y	1	39.77	-1
ENSMUSG00000101668	Y	2	40.32	1
ENSMUSG00000099975	Y	1	46.16	-1
ENSMUSG00000099783	Y	1	45.04	-1
ENSMUSG00000101390	Y	1	45.68	-1
ENSMUSG00000099699	Y	2	40.04	1
ENSMUSG00000100856	Y	1	35.50	1
ENSMUSG00000101544	Y	1	43.23	-1
ENSMUSG00000100159	Y	1	40.58	-1
ENSMUSG00000101119	Y	1	39.60	-1
ENSMUSG00000099520	Y	2	39.97	1
ENSMUSG00000102107	Y	1	43.66	-1
ENSMUSG00000101057	Y	1	40.63	-1
ENSMUSG00000101125	Y	2	40.29	1
ENSMUSG00000100521	Y	1	45.04	-1
ENSMUSG00000101790	Y	1	40.32	-1
ENSMUSG00000100452	Y	2	40.37	1
ENSMUSG00000099350	Y	1	45.55	-1
ENSMUSG00000100329	Y	1	45.49	-1
ENSMUSG00000099940	Y	2	40.00	1
ENSMUSG00000101766	Y	1	35.52	1
ENSMUSG00000101530	Y	1	43.08	-1
ENSMUSG00000100676	Y	1	40.26	-1
ENSMUSG00000101539	Y	2	40.22	1
ENSMUSG00000100353	Y	1	44.81	-1
