"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene.stable.ID.version"	"Gene.name"	"Gene.type"	"Gene.end..bp."	"Gene.description"	"Gene.start..bp."	"Transcript.stable.ID"	"Transcript.stable.ID.version"
"ENSMUSG00000020573"	433.276193099814	-2.0949471194193	0.252034152130046	-8.3121557206197	9.39789890529649e-17	3.5341738623258e-14	"ENSMUSG00000020573.18"	"Pik3cg"	"protein_coding"	32258658	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:MGI Symbol;Acc:MGI:1353576]"	32223472	"ENSMUST00000156904"	"ENSMUST00000156904.8"
"ENSMUSG00000049866"	262.779708994897	2.68654606009689	0.324606448042323	8.27631760336015	1.27042866704692e-16	4.68389612283983e-14	"ENSMUSG00000049866.13"	"Arl4c"	"protein_coding"	88629943	"ADP-ribosylation factor-like 4C [Source:MGI Symbol;Acc:MGI:2445172]"	88600847	"ENSMUST00000051236"	"ENSMUST00000051236.11"
"ENSMUSG00000038332"	180.728906978723	-2.97212376844276	0.360068426504531	-8.25433042629013	1.5275619526635e-16	5.52360526844841e-14	"ENSMUSG00000038332.14"	"Sesn1"	"protein_coding"	41784420	"sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]"	41685931	"ENSMUST00000099931"	"ENSMUST00000099931.11"
"ENSMUSG00000056749"	305.078932842321	2.30604119988112	0.280576538364	8.21893809556316	2.05312981023746e-16	7.14907404109165e-14	"ENSMUSG00000056749.8"	"Nfil3"	"protein_coding"	53135109	"nuclear factor, interleukin 3, regulated [Source:MGI Symbol;Acc:MGI:109495]"	53121245	"ENSMUST00000071065"	"ENSMUST00000071065.8"
"ENSMUSG00000111639"	117.372213248103	4.26228140788952	0.518550756218726	8.21960310880672	2.04177753230919e-16	7.14907404109165e-14	"ENSMUSG00000111639.3"	"1700019L13Rik"	"lncRNA"	119817158	"RIKEN cDNA 1700019L13 gene [Source:MGI Symbol;Acc:MGI:1919476]"	119812201	"ENSMUST00000217388"	"ENSMUST00000217388.2"
"ENSMUSG00000022305"	684.963760461913	1.86431211659334	0.227460207385374	8.19621215518691	2.48080333775893e-16	8.48119002906932e-14	"ENSMUSG00000022305.14"	"Lrp12"	"protein_coding"	39807390	"low density lipoprotein-related protein 12 [Source:MGI Symbol;Acc:MGI:2443132]"	39733985	"ENSMUST00000022916"	"ENSMUST00000022916.13"
"ENSMUSG00000032204"	63.1137593315225	4.24626399088953	0.519668141197954	8.17110700898639	3.05572441007007e-16	1.02601403718835e-13	"ENSMUSG00000032204.14"	"Aqp9"	"protein_coding"	71075964	"aquaporin 9 [Source:MGI Symbol;Acc:MGI:1891066]"	71017941	"ENSMUST00000074465"	"ENSMUST00000074465.9"
"ENSMUSG00000048216"	104.713929920581	-4.84696378478387	0.59397012162202	-8.16028215619285	3.34242873224626e-16	1.1025910079373e-13	"ENSMUSG00000048216.14"	"Gpr85"	"protein_coding"	13839941	"G protein-coupled receptor 85 [Source:MGI Symbol;Acc:MGI:1927851]"	13834457	"ENSMUST00000060442"	"ENSMUST00000060442.14"
"ENSMUSG00000136117"	215.885604950579	4.56546732948528	0.560866219829657	8.14002906231699	3.95183027017907e-16	1.28114249258926e-13	"ENSMUSG00000136117.1"	"Gm70772"	"lncRNA"	107454542	"predicted gene, 70772 [Source:MGI Symbol;Acc:MGI:7824333]"	107426438	"ENSMUST00000334230"	"ENSMUST00000334230.1"
"ENSMUSG00000097354"	202.708585970433	2.64549801424268	0.326084725481503	8.11291608442034	4.94192009603387e-16	1.57496480619873e-13	"ENSMUSG00000097354.10"	"2310001H17Rik"	"lncRNA"	129216988	"RIKEN cDNA 2310001H17 gene [Source:MGI Symbol;Acc:MGI:1923682]"	129091282	"ENSMUST00000181238"	"ENSMUST00000181238.3"
"ENSMUSG00000020205"	142.779094973717	2.79525466653201	0.348311345191723	8.02516112414715	1.01392774866508e-15	3.17748057635826e-13	"ENSMUSG00000020205.9"	"Phlda1"	"protein_coding"	111344506	"pleckstrin homology like domain, family A, member 1 [Source:MGI Symbol;Acc:MGI:1096880]"	111342147	"ENSMUST00000164773"	"ENSMUST00000164773.2"
"ENSMUSG00000029380"	1847.64054611572	3.0218686383056	0.377154384413386	8.01228558699038	1.12596027952196e-15	3.47072641571334e-13	"ENSMUSG00000029380.12"	"Cxcl1"	"protein_coding"	91040974	"C-X-C motif chemokine ligand 1 [Source:MGI Symbol;Acc:MGI:108068]"	91039100	"ENSMUST00000031327"	"ENSMUST00000031327.9"
"ENSMUSG00000019558"	679.71270639379	1.79994120532471	0.226179223594447	7.95803070114041	1.7479898782977e-15	5.21705613994154e-13	"ENSMUSG00000019558.15"	"Slc6a8"	"protein_coding"	72726108	"solute carrier family 6 (neurotransmitter transporter, creatine), member 8 [Source:MGI Symbol;Acc:MGI:2147834]"	72716756	"ENSMUST00000033752"	"ENSMUST00000033752.14"
"ENSMUSG00000027398"	2084.8787333828	2.4246379789796	0.304665193378394	7.95836883134923	1.74322062689005e-15	5.21705613994154e-13	"ENSMUSG00000027398.14"	"Il1b"	"protein_coding"	129213059	"interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]"	129206490	"ENSMUST00000028881"	"ENSMUST00000028881.14"
"ENSMUSG00000025950"	581.113386373572	-2.06906277510601	0.261761397810891	-7.90438465109663	2.69260379327358e-15	7.91078580076923e-13	"ENSMUSG00000025950.17"	"Idh1"	"protein_coding"	65225659	"isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"	65197775	"ENSMUST00000097709"	"ENSMUST00000097709.11"
"ENSMUSG00000109357"	132.942239082781	3.4882626408666	0.442192002131645	7.88857017777565	3.05668323310458e-15	8.84227920493315e-13	"ENSMUSG00000109357.2"	"Gm45236"	"TEC"	118287996	"predicted gene 45236 [Source:MGI Symbol;Acc:MGI:5753812]"	118287768	"ENSMUST00000208632"	"ENSMUST00000208632.2"
"ENSMUSG00000055541"	337.683976162272	-2.14183558278798	0.272202344792912	-7.86854200105242	3.58798100265096e-15	1.02219404231585e-12	"ENSMUSG00000055541.20"	"Lair1"	"protein_coding"	4066178	"leukocyte-associated Ig-like receptor 1 [Source:MGI Symbol;Acc:MGI:105492]"	4006401	"ENSMUST00000068865"	"ENSMUST00000068865.13"
"ENSMUSG00000098557"	1948.94963623148	-1.77996777043047	0.226358186725196	-7.86350074712075	3.73544118970671e-15	1.04832090582172e-12	"ENSMUSG00000098557.2"	"Kctd12"	"protein_coding"	103220073	"potassium channel tetramerisation domain containing 12 [Source:MGI Symbol;Acc:MGI:2145823]"	103214017	"ENSMUST00000184744"	"ENSMUST00000184744.2"
"ENSMUSG00000023034"	115.757051346441	3.8926274638862	0.496370496590596	7.84218137585406	4.42786167929744e-15	1.22436886993867e-12	"ENSMUSG00000023034.8"	"Nr4a1"	"protein_coding"	101172676	"nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]"	101152150	"ENSMUST00000228985"	"ENSMUST00000228985.2"
"ENSMUSG00000043421"	265.015130253874	3.60330179152497	0.460665973577181	7.8219404041164	5.20152348701445e-15	1.41745284241062e-12	"ENSMUSG00000043421.9"	"Hilpda"	"protein_coding"	29275445	"hypoxia inducible lipid droplet associated [Source:MGI Symbol;Acc:MGI:1916823]"	29272487	"ENSMUST00000115289"	"ENSMUST00000115289.2"
"ENSMUSG00000087203"	243.323227311926	3.16972109046091	0.407399611701803	7.78037337154114	7.23108137384218e-15	1.94237175817649e-12	"ENSMUSG00000087203.10"	"Gm13986"	"lncRNA"	117942663	"predicted gene 13986 [Source:MGI Symbol;Acc:MGI:3651937]"	117606375	"ENSMUST00000148587"	"ENSMUST00000148587.8"
"ENSMUSG00000019966"	393.025129876331	-3.04687674983136	0.392855508901316	-7.7557185295745	8.78446670168188e-15	2.32639897734823e-12	"ENSMUSG00000019966.19"	"Kitl"	"protein_coding"	99936278	"kit ligand [Source:MGI Symbol;Acc:MGI:96974]"	99851492	"ENSMUST00000105283"	"ENSMUST00000105283.9"
"ENSMUSG00000058755"	124.231817671648	4.49540281754607	0.583667145740237	7.701997363317	1.33955652126543e-14	3.49828906518803e-12	"ENSMUSG00000058755.4"	"Osm"	"protein_coding"	4191026	"oncostatin M [Source:MGI Symbol;Acc:MGI:104749]"	4186420	"ENSMUST00000075221"	"ENSMUST00000075221.3"
"ENSMUSG00000029401"	1273.70730602972	1.78825849903997	0.232534651519129	7.69028825320196	1.46803901939137e-14	3.78130653172821e-12	"ENSMUSG00000029401.9"	"Rilpl2"	"protein_coding"	124616429	"Rab interacting lysosomal protein-like 2 [Source:MGI Symbol;Acc:MGI:1933112]"	124601328	"ENSMUST00000031347"	"ENSMUST00000031347.8"
"ENSMUSG00000063193"	136.322544696117	-3.91060241601616	0.509774126226485	-7.67124539050994	1.70334316942626e-14	4.32810292090837e-12	"ENSMUSG00000063193.10"	"Cd300lb"	"protein_coding"	114825212	"CD300 molecule like family member B [Source:MGI Symbol;Acc:MGI:2685099]"	114813607	"ENSMUST00000149663"	"ENSMUST00000149663.4"
"ENSMUSG00000035042"	3202.65028179435	1.96215469298427	0.256436361021287	7.65162430620124	1.98456338405671e-14	4.97543270805578e-12	"ENSMUSG00000035042.3"	"Ccl5"	"protein_coding"	83421344	"C-C motif chemokine ligand 5 [Source:MGI Symbol;Acc:MGI:98262]"	83416604	"ENSMUST00000035938"	"ENSMUST00000035938.3"
"ENSMUSG00000040605"	66.2170075894318	4.38919183470897	0.574107021960588	7.64525021784227	2.08539400491634e-14	5.15942940453183e-12	"ENSMUSG00000040605.8"	"Bace2"	"protein_coding"	97244136	"beta-site APP-cleaving enzyme 2 [Source:MGI Symbol;Acc:MGI:1860440]"	97157942	"ENSMUST00000047275"	"ENSMUST00000047275.8"
"ENSMUSG00000011179"	1729.90888030764	3.56768103242171	0.46751826671601	7.63110510629283	2.3274981632923e-14	5.68362960576429e-12	"ENSMUSG00000011179.9"	"Odc1"	"protein_coding"	17601506	"ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]"	17594795	"ENSMUST00000171737"	"ENSMUST00000171737.3"
"ENSMUSG00000049091"	523.975830916367	-2.33804270269274	0.306629873060961	-7.6249671284569	2.44096578895288e-14	5.88429227303604e-12	"ENSMUSG00000049091.8"	"Sephs2"	"protein_coding"	126873227	"selenophosphate synthetase 2 [Source:MGI Symbol;Acc:MGI:108388]"	126871051	"ENSMUST00000082428"	"ENSMUST00000082428.6"
